carFullName,make,model,MinimalPrice,EnginePower,MaximumTorque,TypeOfBrakes,DriveType,BatteryCapacity,Range,Wheelbase,Length,Width,Height,MinimalEmptyWeight,PermissableGrossWeight,MaximumLoadCapacity,NumberOfSeats,Number of doors,TireSize,MaximumSpeed,BootCapacity,Acceleration,MaximumDCchargingPower,MeanEnergyconsumption
Tesla Model S Performance,Tesla,Model S Performance,443990,772,1140,disc (front + rear),4WD,100,589,296,497.9,196.4,144.5,2417,,,5,5,21,261,745,2.5,150,
Tesla Model X Long Range Plus,Tesla,Model X Long Range Plus,407990,525,755,disc (front + rear),4WD,100,511,296.5,503.7,207,162.6,2464,,,7,5,20,250,857,4.6,150,
Tesla Model X Performance,Tesla,Model X Performance,482990,772,1140,disc (front + rear),4WD,100,498,296.5,503.7,207,162.6,2524,,,7,5,20,261,857,2.8,150,
Volkswagen e-up!,Volkswagen,e-up!,97990,83,210,disc (front) + drum (rear),2WD (front),32.3,272,241.7,360,164.5,149.2,1235,1530,370,4,5,14,130,250,11.9,40,14
Volkswagen ID.3 Pro Performance,Volkswagen,ID.3 Pro Performance,155890,204,310,disc (front) + drum (rear),2WD (rear),58,287,277,426.1,180.9,156.8,1805,2270,540,5,5,18,160,385,7.3,100,15.4
Volkswagen ID.3 Pro S,Volkswagen,ID.3 Pro S,179990,204,310,disc (front) + drum (rear),2WD (rear),77,295,277,426.1,180.9,156.8,1934,2280,412,5,5,19,160,385,7.9,125,15.9
Volkswagen ID.4 1st,Volkswagen,ID.4 1st,202390,204,310,disc (front) + drum (rear),2WD (rear),77,328,277.1,458.4,185.2,163.1,2124,2660,661,5,5,20,160,543,8.5,125,18
Citroen-Spacetourer (M),Citroen,Citroen-Spacetourer (M),215400,136,260,disc (front + rear),2WD (front),50,420,327.5,459.9,192,190,1969,2810,1056,8,5,16,130,603,13.1,100,25.2
Mercedes-Benz EQV (long),Mercedes-Benz,EQV (long),339480,204,362,,2WD (front),90,530,320,514,192.8,191,2710,3500,865,6,5,17,160,,,110,28.2
Nissan e-NV200 evalia,Nissan,e-NV200 evalia,164328,109,254,disc (front + rear),2WD (front),40,295,272.5,456,175.5,185.8,1592,2250,658,5,5,15,123,870,,50,25.9
